"sourceid","userid","time","event_name","event_class","device","target","src_tok","src_tok_id","x","y","key","keytype","button","src_len","time_norm","ui_id"
"0","33","0","start","start","","","","","","","","","","23","0.0","2"
"0","33","23","mouseenter","mouse","mouse","target_textbox","","","468","483","","","","23","0.00016803652968","2"
"0","33","27","focusin","focus","","target_textbox","","","","","","","","23","0.000197260273973","2"
"0","33","89","mouseover","mouse","mouse","","","","468","519","","","","23","0.000650228310502","2"
"0","33","551","mouseover","mouse","mouse","target_textbox","","","468","513","","","","23","0.00402557077626","2"
"0","33","6980","mouseover","mouse","mouse","centercol","","","823","355","","","","23","0.05099543379","2"
"0","33","7189","mouseover","mouse","mouse","target_textbox","","","862","357","","","","23","0.0525223744292","2"
"0","33","13702","mouseover","mouse","mouse","centercol","","","779","355","","","","23","0.100105936073","2"
"0","33","13781","mouseover","mouse","mouse","source_textbox","","","852","338","","","","23","0.100683105023","2"
"0","33","14158","scroll","browser","","","","","","","","","","23","0.103437442922","2"
"0","33","14165","mouseover","mouse","mouse","target_textbox","","","900","356","","","","23","0.103488584475","2"
"0","33","14734","scroll","browser","","","","","","","","","","23","0.1076456621","2"
"0","33","14739","mouseover","mouse","mouse","source_textbox","","","900","324","","","","23","0.107682191781","2"
"0","33","19158","mouseover","mouse","mouse","centercol","","","797","342","","","","23","0.139967123288","2"
"0","33","19211","mouseover","mouse","mouse","target_textbox","","","729","356","","","","23","0.1403543379","2"
"0","33","19595","mousedown","mouse","mouse","target_textbox","","","667","390","","mouse","1","23","0.143159817352","2"
"0","33","19760","click","mouse","mouse","target_textbox","","","667","390","","mouse","1","23","0.144365296804","2"
"0","33","21695","mousedown","mouse","mouse","target_textbox","","","725","406","","mouse","1","23","0.158502283105","2"
"0","33","21858","click","mouse","mouse","target_textbox","","","725","406","","mouse","1","23","0.159693150685","2"
"0","33","22009","keypress","keyboard","keyboard","target_textbox","","","","","space","control","","23","0.160796347032","2"
"0","33","22407","keydown","keyboard","keyboard","target_textbox","","","","","backspace","control","","23","0.163704109589","2"
"0","33","74379","mousedown","mouse","mouse","target_textbox","","","664","381","","mouse","1","23","0.543408219178","2"
"0","33","74549","click","mouse","mouse","target_textbox","","","664","381","","mouse","1","23","0.544650228311","2"
"0","33","75557","mousedown","mouse","mouse","target_textbox","","","672","368","","mouse","1","23","0.552014611872","2"
"0","33","75721","click","mouse","mouse","target_textbox","","","672","368","","mouse","1","23","0.553212785388","2"
"0","33","78579","keydown","keyboard","keyboard","target_textbox","","","","","delete","control","","23","0.574093150685","2"
"0","33","79007","keydown","keyboard","keyboard","target_textbox","","","","","backspace","control","","23","0.577220091324","2"
"0","33","79201","keydown","keyboard","keyboard","target_textbox","","","","","backspace","control","","23","0.578637442922","2"
"0","33","80689","keypress","keyboard","keyboard","target_textbox","","","","","ء","input","","23","0.589508675799","2"
"0","33","83100","keydown","keyboard","keyboard","target_textbox","","","","","left arrow","control","","23","0.607123287671","2"
"0","33","83327","keydown","keyboard","keyboard","target_textbox","","","","","left arrow","control","","23","0.60878173516","2"
"0","33","83525","keydown","keyboard","keyboard","target_textbox","","","","","left arrow","control","","23","0.610228310502","2"
"0","33","83713","keydown","keyboard","keyboard","target_textbox","","","","","left arrow","control","","23","0.611601826484","2"
"0","33","83903","keydown","keyboard","keyboard","target_textbox","","","","","left arrow","control","","23","0.612989954338","2"
"0","33","84106","keydown","keyboard","keyboard","target_textbox","","","","","left arrow","control","","23","0.614473059361","2"
"0","33","85200","keydown","keyboard","keyboard","target_textbox","","","","","left arrow","control","","23","0.622465753425","2"
"0","33","86792","keydown","keyboard","keyboard","target_textbox","","","","","left arrow","control","","23","0.634096803653","2"
"0","33","86940","keydown","keyboard","keyboard","target_textbox","","","","","left arrow","control","","23","0.635178082192","2"
"0","33","87124","keydown","keyboard","keyboard","target_textbox","","","","","left arrow","control","","23","0.636522374429","2"
"0","33","87282","keydown","keyboard","keyboard","target_textbox","","","","","left arrow","control","","23","0.637676712329","2"
"0","33","87475","keydown","keyboard","keyboard","target_textbox","","","","","left arrow","control","","23","0.639086757991","2"
"0","33","89206","keydown","keyboard","keyboard","target_textbox","","","","","backspace","control","","23","0.651733333333","2"
"0","33","89369","keydown","keyboard","keyboard","target_textbox","","","","","backspace","control","","23","0.652924200913","2"
"0","33","89537","keydown","keyboard","keyboard","target_textbox","","","","","backspace","control","","23","0.654151598174","2"
"0","33","90452","keydown","keyboard","keyboard","target_textbox","","","","","delete","control","","23","0.66083652968","2"
"0","33","91672","keydown","keyboard","keyboard","target_textbox","","","","","delete","control","","23","0.669749771689","2"
"0","33","92289","keypress","keyboard","keyboard","target_textbox","","","","","ل","input","","23","0.674257534247","2"
"0","33","101530","mousedown","mouse","mouse","target_textbox","","","905","387","","mouse","1","23","0.741771689498","2"
"0","33","101696","click","mouse","mouse","target_textbox","","","905","387","","mouse","1","23","0.742984474886","2"
"0","33","103492","keydown","keyboard","keyboard","target_textbox","","","","","delete","control","","23","0.756105936073","2"
"0","33","103985","keypress","keyboard","keyboard","target_textbox","","","","","ل","input","","23","0.759707762557","2"
"0","33","106327","mousedown","mouse","mouse","target_textbox","","","746","387","","mouse","1","23","0.77681826484","2"
"0","33","106491","click","mouse","mouse","target_textbox","","","746","387","","mouse","1","23","0.778016438356","2"
"0","33","120243","mousedown","mouse","mouse","target_textbox","","","624","386","","mouse","1","23","0.878487671233","2"
"0","33","120407","click","mouse","mouse","target_textbox","","","624","386","","mouse","1","23","0.879685844749","2"
"0","33","121772","keydown","keyboard","keyboard","target_textbox","","","","","delete","control","","23","0.889658447489","2"
"0","33","122191","keydown","keyboard","keyboard","target_textbox","","","","","backspace","control","","23","0.892719634703","2"
"0","33","122378","keydown","keyboard","keyboard","target_textbox","","","","","backspace","control","","23","0.894085844749","2"
"0","33","122544","keydown","keyboard","keyboard","target_textbox","","","","","backspace","control","","23","0.895298630137","2"
"0","33","123685","keypress","keyboard","keyboard","target_textbox","","","","","ف","input","","23","0.903634703196","2"
"0","33","124202","keypress","keyboard","keyboard","target_textbox","","","","","ر","input","","23","0.907411872146","2"
"0","33","127856","keypress","keyboard","keyboard","target_textbox","","","","","ا","input","","23","0.934107762557","2"
