is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-07-26 16:15:40.5807-07	1	t	23	18
f	2012-07-26 16:17:23.243143-07	1	t	35	26
f	2012-07-26 16:18:53.883797-07	1	t	25	17
f	2012-07-26 16:21:20.971251-07	1	t	18	17
f	2012-07-26 16:22:46.243551-07	1	t	21	18
f	2012-07-26 16:24:27.017285-07	1	t	22	19
f	2012-07-26 15:58:43.163824-07	1	t	25	32
f	2012-07-26 16:02:05.067515-07	1	t	26	25
f	2012-07-26 16:04:03.398708-07	1	t	18	20
f	2012-07-26 16:05:29.776941-07	1	t	14	15
f	2012-07-26 16:07:38.218959-07	1	t	16	16
f	2012-07-26 16:10:01.330651-07	1	t	23	27
f	2012-07-26 16:12:15.020428-07	1	t	23	20
f	2012-07-26 16:13:37.737784-07	1	t	20	16
f	2012-07-26 15:48:37.67367-07	2	t	41	37
f	2012-07-26 15:50:31.403278-07	2	t	19	22
f	2012-07-26 15:51:35.605367-07	2	t	23	13
f	2012-07-26 15:54:40.607831-07	2	t	43	35
f	2012-07-26 15:55:52.141316-07	2	t	28	21
f	2012-07-26 15:27:35.744115-07	2	t	27	32
f	2012-07-26 15:28:27.848347-07	2	t	12	11
f	2012-07-26 15:35:20.81102-07	2	t	24	18
f	2012-07-26 15:36:27.806461-07	2	t	14	14
f	2012-07-26 15:37:43.486038-07	2	t	14	13
f	2012-07-26 15:41:10.446797-07	2	t	23	28
f	2012-07-26 15:42:43.363435-07	2	t	14	13
f	2012-07-26 15:44:04.641157-07	2	t	15	15
