is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-07-19 08:50:19.732281-07	1	t	23	23
f	2012-07-19 08:51:46.456051-07	1	t	35	35
f	2012-07-19 08:53:16.93287-07	1	t	25	27
f	2012-07-19 08:54:28.122712-07	1	t	18	18
f	2012-07-19 08:55:39.344082-07	1	t	21	20
f	2012-07-19 08:57:05.751551-07	1	t	22	22
f	2012-07-19 08:36:31.053637-07	1	t	25	32
f	2012-07-19 08:39:16.657863-07	1	t	26	23
f	2012-07-19 08:41:01.741401-07	1	t	18	21
f	2012-07-19 08:42:16.975631-07	1	t	14	14
f	2012-07-19 08:44:13.226367-07	1	t	16	19
f	2012-07-19 08:46:06.605342-07	1	t	23	25
f	2012-07-19 08:47:45.427763-07	1	t	23	29
f	2012-07-19 08:48:52.507806-07	1	t	20	22
f	2012-07-19 09:01:15.061686-07	2	t	41	44
f	2012-07-19 09:02:31.98106-07	2	t	19	17
f	2012-07-19 09:03:56.046843-07	2	t	23	22
f	2012-07-19 09:07:49.80825-07	2	t	43	43
f	2012-07-19 09:10:17.319651-07	2	t	28	31
f	2012-07-19 09:12:10.027705-07	2	t	27	26
f	2012-07-19 09:12:40.969092-07	2	t	12	12
f	2012-07-19 09:14:27.638135-07	2	t	24	25
f	2012-07-19 09:14:55.814069-07	2	t	14	15
f	2012-07-19 09:15:23.263181-07	2	t	14	13
f	2012-07-19 09:17:54.73461-07	2	t	23	23
f	2012-07-19 09:18:37.919672-07	2	t	14	12
f	2012-07-19 09:19:59.937119-07	2	t	15	15
