is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-07-16 09:37:20.098972-07	1	t	23	24
f	2012-07-16 09:40:30.167091-07	1	t	35	32
f	2012-07-16 09:42:27.580255-07	1	t	25	28
f	2012-07-16 09:43:57.504725-07	1	t	18	18
f	2012-07-16 09:45:33.506083-07	1	t	21	20
f	2012-07-16 09:46:56.029413-07	1	t	22	23
f	2012-07-16 09:51:35.521705-07	1	t	25	29
f	2012-07-16 09:54:36.474136-07	1	t	26	34
f	2012-07-16 09:56:46.834-07	1	t	18	21
f	2012-07-16 09:59:00.85619-07	1	t	14	15
f	2012-07-16 10:01:03.978216-07	1	t	16	22
f	2012-07-16 10:03:31.487066-07	1	t	23	34
f	2012-07-16 10:06:02.496642-07	1	t	23	33
f	2012-07-16 10:07:07.79688-07	1	t	20	25
f	2012-07-16 10:09:32.074385-07	2	t	41	44
f	2012-07-16 10:10:01.736876-07	2	t	19	20
f	2012-07-16 10:11:41.102784-07	2	t	23	22
f	2012-07-16 10:13:59.540291-07	2	t	43	44
f	2012-07-16 10:15:07.431095-07	2	t	28	35
f	2012-07-16 10:16:22.63669-07	2	t	27	32
f	2012-07-16 10:17:04.382082-07	2	t	12	13
f	2012-07-16 10:17:26.953194-07	2	t	24	28
f	2012-07-16 10:18:02.969274-07	2	t	14	17
f	2012-07-16 10:18:19.286757-07	2	t	14	15
f	2012-07-16 10:19:13.767881-07	2	t	23	25
f	2012-07-16 10:19:33.798508-07	2	t	14	16
f	2012-07-16 10:20:21.090011-07	2	t	15	20
