"sourceid","userid","time","event_name","event_class","device","target","src_tok","src_tok_id","x","y","key","keytype","button","src_len","time_norm","ui_id"
"0","70","0","start","start","","","","","","","","","","23","0.0","1"
"0","70","17","mouseenter","mouse","mouse","source_textbox","","","904","377","","mouse","1","23","0.000149708508727","1"
"0","70","369","mouseover","mouse","mouse","centercol","","","898","391","","mouse","1","23","0.00324955527767","1"
"0","70","400","mouseover","mouse","mouse","target_textbox","","","897","404","","mouse","1","23","0.00352255314652","1"
"0","70","10440","mouseout","mouse","mouse","target_textbox","","","815","398","","mouse","1","23","0.0919386371242","1"
"0","70","10442","mouseover","mouse","mouse","centercol","","","815","398","","mouse","1","23","0.0919562498899","1"
"0","70","10464","mouseover","mouse","mouse","source_textbox","","","804","381","","mouse","1","23","0.092149990313","1"
"0","70","10488","mouseover","mouse","mouse","token","imperial","21","789","358","","mouse","1","23","0.0923613435018","1"
"0","70","10504","mouseover","mouse","mouse","source_textbox","","","778","335","","mouse","1","23","0.0925022456276","1"
"0","70","10520","mouseover","mouse","mouse","token","Empress,","14","755","281","","mouse","1","23","0.0926431477535","1"
"0","70","10530","mouseover","mouse","mouse","source_textbox","","","749","266","","mouse","1","23","0.0927312115822","1"
"0","70","10584","mouseover","mouse","mouse","centercol","","","729","202","","mouse","1","23","0.0932067562569","1"
"0","70","11144","mouseover","mouse","mouse","leftcol","","","696","126","","mouse","1","23","0.0981383306621","1"
"0","70","11152","mouseover","mouse","mouse","header","","","685","108","","mouse","1","23","0.098208781725","1"
"0","70","11160","mouseover","mouse","mouse","","","","678","70","","mouse","1","23","0.0982792327879","1"
"0","70","11171","mouseover","mouse","mouse","header","","","666","37","","mouse","1","23","0.0983761029995","1"
"0","70","11176","mouseleave","mouse","mouse","header","","","647","-2","","mouse","1","23","0.0984201349138","1"
"0","70","11440","mouseenter","mouse","mouse","","","","659","5","","mouse","1","23","0.10074501999","1"
"0","70","11448","mouseover","mouse","mouse","","","","679","55","","mouse","1","23","0.100815471053","1"
"0","70","11456","mouseover","mouse","mouse","header","","","697","104","","mouse","1","23","0.100885922116","1"
"0","70","11464","mouseover","mouse","mouse","centercol","","","707","157","","mouse","1","23","0.100956373179","1"
