"time","prev_time","pause_mean","pause_cnt","pause_cnt1s","pause_ratio","pause_ratio1s","event_cnt","event_keyboard_cnt","event_mouse_cnt","event_focus_cnt","event_browser_cnt","src_id","ui_id","tgt_len","user_id","edit_distance","rank"
"116536","1","1127.34883721","86","23","0.831948925654","0.536194823917","377","329","47","1","0","0","2","18","11","9","9"
"205559","116536","1485.03539823","113","35","0.816354428656","0.616990742317","446","315","128","3","0","1","2","34","11","22","5"
"146455","205559","1138.32038835","103","26","0.800566726981","0.504209484142","356","268","85","3","0","2","2","30","11","21","5"
"116031","146455","1672.16129032","62","21","0.893502598444","0.697210228301","230","123","100","7","0","3","2","15","11","4","13"
"98316","116031","1098.76923077","78","16","0.871719760771","0.505299239188","242","159","80","3","0","4","2","19","11","9","8"
"73880","98316","1300.10638298","47","11","0.827084461289","0.567717920953","223","178","44","1","0","5","2","22","11","8","1"
"320990","73880","1515.30337079","178","57","0.840287859435","0.629807782174","731","591","134","6","0","6","2","34","11","24","2"
"215524","320990","1422.29133858","127","38","0.838101557135","0.609134017557","465","329","133","3","0","7","2","22","11","18","8"
"178421","215524","1750.75","88","30","0.863497009881","0.679903150414","313","245","65","3","0","8","2","23","11","15","1"
"117939","178421","1553.85483871","62","25","0.816854475619","0.649021952026","314","256","57","1","0","9","2","19","11","10","11"
"180608","117939","2343.02857143","70","22","0.908110382707","0.75346053331","270","148","114","8","0","10","2","19","11","9","6"
"266958","180608","1617.82014388","139","48","0.842368462455","0.658654170319","569","401","158","9","1","11","2","40","11","25","9"
"127672","266958","1274.02298851","87","25","0.868162165549","0.607705683313","389","345","43","1","0","12","2","22","11","7","3"
"106836","127672","1042.79268293","82","16","0.800376277659","0.489984649369","344","288","55","1","0","13","2","20","11","7","3"
"437403","106836","1941.74","200","53","0.887849420329","0.702391158725","694","421","257","15","1","14","1","37","11","32","4"
"163956","437403","1687.41176471","85","22","0.874807875284","0.668136573227","310","226","77","7","0","15","1","19","11","10","5"
"313391","163956","2031.21985816","141","46","0.913880743225","0.74680191837","489","296","182","11","0","16","1","16","11","14","7"
"342042","313391","1781.72392638","163","42","0.849079937552","0.662854269359","664","519","139","5","1","17","1","36","11","27","14"
"201636","342042","1231.625","136","36","0.830709793886","0.552168263604","446","305","134","7","0","18","1","28","11","19","2"
"208909","201636","953.063953488","172","44","0.784681368443","0.465054162339","545","445","94","6","0","19","1","39","11","28","15"
"78164","208909","861.28358209","67","10","0.738268256486","0.372844276137","292","255","36","1","0","20","1","13","11","8","16"
"152826","78164","1247.41","100","19","0.816228913928","0.534182665253","378","308","67","3","0","21","1","22","11","16","9"
"169224","152826","1635.70114943","87","21","0.840932728218","0.627765565168","408","295","106","7","0","22","1","14","11","10","11"
"71935","169224","1326.5","46","10","0.848251894071","0.575936609439","121","105","13","3","0","23","1","15","11","12","11"
"270098","71935","2686.49450549","91","30","0.905119623248","0.793504579819","266","201","62","3","0","24","1","23","11","20","7"
"254699","270098","1472.33557047","149","44","0.861322580772","0.649154492165","465","307","147","11","0","25","1","14","11","12","5"
"188471","254699","1987.03529412","85","23","0.896148479076","0.719415719129","259","151","99","9","0","26","1","17","11","14","4"
"77893","1","1279.10909091","55","19","0.903174868088","0.649660431618","132","92","39","1","0","0","2","18","10","9","5"
"143432","77893","1562.83950617","81","30","0.8825785041","0.674019744548","213","140","70","3","0","1","2","26","10","13","7"
"119049","143432","1208.85542169","83","17","0.842804223471","0.532973817504","245","132","109","4","0","2","2","25","10","13","6"
"73291","119049","2294.24137931","29","10","0.907792225512","0.770776766588","113","49","59","5","0","3","2","17","10","5","4"
"82147","73291","1386.60377358","53","18","0.894615749814","0.631635969664","154","56","97","1","0","4","2","20","10","11","7"
"46061","82147","1900.31818182","22","10","0.907644210938","0.764551355811","57","24","32","1","0","5","2","22","10","8","1"
"7350","46061","1775.5","4","1","0.966258503401","0.723537414966","7","0","6","1","0","6","2","36","10","24","6"
"875861","7350","3296.41365462","249","120","0.937142994151","0.856266005679","819","392","412","15","0","7","2","23","10","17","1"
"237037","875861","1899.96428571","112","32","0.897733265271","0.71058948603","358","181","164","13","0","8","2","19","10","8","3"
"266944","237037","5111.26","50","23","0.957365589787","0.905163629825","171","102","62","7","0","9","2","18","10","8","7"
"333221","266944","2519.04878049","123","47","0.929842356874","0.805729530852","328","216","107","5","0","10","2","21","10","11","2"
"307237","333221","2846.17821782","101","38","0.935642517015","0.826524800073","302","168","125","9","0","11","2","31","10","16","2"
"262159","307237","2994.48148148","81","34","0.925213324738","0.827341422572","283","191","91","1","0","12","2","23","10","9","1"
"288510","262159","3255.56626506","83","36","0.936577588298","0.847062493501","277","114","162","1","0","13","2","22","10","11","2"
"1060658","288510","3367.85521886","297","84","0.943049503233","0.829634057349","941","460","432","49","0","14","1","36","10","30","8"
"242688","1060658","2642.46987952","83","24","0.903732364188","0.777586860496","273","169","94","10","0","15","1","23","10","15","4"
"330760","242688","3229.72631579","95","40","0.927633329302","0.840038094086","365","126","223","16","0","16","1","14","10","12","13"
"654185","330760","2319.30232558","258","83","0.914695384333","0.765850638581","839","397","416","25","1","17","1","37","10","31","3"
"309008","654185","1536.17714286","175","52","0.869980712473","0.655885931756","509","319","182","8","0","18","1","30","10","23","11"
"197342","309008","1042.25786164","159","37","0.839755348583","0.522970274954","374","328","45","1","0","19","1","31","10","23","12"
"61393","197342","790.839285714","56","15","0.721368885704","0.394654113661","180","145","34","1","0","20","1","11","10","8","8"
"590334","61393","4591.76229508","122","39","0.948945850993","0.87396456921","435","187","236","12","0","21","1","18","10","16","10"
"83522","590334","1203.3220339","59","13","0.850027537655","0.57952395776","161","115","43","3","0","22","1","15","10","11","1"
"83772","83522","1052.04545455","66","15","0.828856897293","0.503091725159","149","137","11","1","0","23","1","13","10","9","8"
"179964","83772","1374.05217391","115","32","0.878042275122","0.622785668245","324","177","140","7","0","24","1","14","10","21","16"
"74229","179964","1352.58695652","46","12","0.838203397594","0.611822872462","133","92","38","3","0","25","1","11","10","9","1"
"102826","74229","1492.70689655","58","20","0.841975764884","0.653647910062","189","125","59","5","0","26","1","15","10","8","1"
"234756","1","2495.22619048","84","32","0.892837669751","0.781360220825","470","318","138","14","0","0","1","17","56","13","1"
"226863","234756","2250.05555556","90","34","0.892631235592","0.76086007855","531","354","159","18","0","1","1","24","56","17","2"
"141659","226863","1688.2","70","20","0.834214557494","0.657896780296","490","432","53","5","0","2","1","21","56","16","4"
"280924","141659","2413.72641509","106","37","0.910762341416","0.781681166436","606","353","224","29","0","3","1","18","56","11","3"
"81074","280924","2388.13793103","29","11","0.854231936256","0.732824333325","233","201","26","6","0","4","1","18","56","11","1"
"138660","81074","2549.86","50","24","0.919464878119","0.827268137891","365","261","89","15","0","5","1","20","56","11","5"
"465208","138660","1702.28691983","237","89","0.867229282386","0.702410534643","1240","757","437","45","1","6","1","28","56","25","14"
"520980","465208","2643.06077348","181","72","0.918257898576","0.808219125494","917","589","284","44","0","7","1","30","56","23","11"
"294915","520980","2475.01851852","108","40","0.906369631928","0.776094806978","548","357","167","24","0","8","1","18","56","14","7"
"175532","294915","2323.59701493","67","21","0.886909509377","0.749134061026","432","241","181","10","0","9","1","18","56","17","13"
"324036","175532","2792.8411215","107","42","0.922224691084","0.807049216754","590","368","193","29","0","10","1","18","56","15","10"
"443417","324036","2594.38853503","157","57","0.918591303446","0.801358540606","832","504","285","43","0","11","1","30","56","27","3"
"369909","443417","2630.26923077","130","46","0.924375995177","0.789569867184","685","378","273","34","0","12","1","21","56","17","14"
"112434","369909","1760.12962963","54","15","0.845358165679","0.65915114645","310","260","48","2","0","13","1","18","56","11","15"
"815005","112434","2626.35862069","290","124","0.934526782044","0.827312715873","1306","606","598","101","1","14","2","37","56","22","3"
"118730","815005","1891.2962963","54","19","0.86018697886","0.701010696538","364","293","54","17","0","15","2","18","56","10","14"
"345683","118730","2571.33064516","124","42","0.922362395605","0.786683175048","660","277","328","55","0","16","2","17","56","12","3"
"476940","345683","2522.08823529","170","71","0.898970520401","0.788661047511","1065","678","283","62","42","17","2","35","56","31","10"
"179340","476940","2471.59677419","62","30","0.854460800714","0.769387755102","498","369","105","24","0","18","2","25","56","18","2"
"847352","179340","2840.56428571","280","118","0.938639432019","0.82687596182","1232","629","495","108","0","19","2","25","56","17","2"
"178196","847352","3670.10638298","47","22","0.968007138207","0.90108644414","179","24","131","24","0","20","2","10","56","5","14"
"272615","178196","3255.98734177","79","33","0.943539423729","0.848038442492","358","109","186","42","21","21","2","20","56","5","7"
"78570","272615","3158.625","24","11","0.964833906071","0.863128420517","105","9","77","19","0","22","2","14","56","2","1"
"107602","78570","1926.6875","48","16","0.859472872251","0.698685898032","296","230","51","15","0","23","2","13","56","9","5"
"302750","107602","3104.58888889","90","44","0.922916597853","0.845727497936","488","304","144","40","0","24","2","18","56","18","9"
"220446","302750","2364.06024096","83","30","0.890090997342","0.75865744899","468","311","119","38","0","25","2","11","56","8","4"
