"time","prev_time","pause_mean","pause_cnt","pause_cnt1s","pause_ratio","pause_ratio1s","event_cnt","event_keyboard_cnt","event_mouse_cnt","event_focus_cnt","event_browser_cnt","src_id","ui_id","tgt_len","user_id","edit_distance","rank"
"102445","1","2275.85365854","41","19","0.910830201572","0.78454780614","138","78","51","8","1","0","2","21","25","3","3"
"89191","102445","993.71875","64","13","0.713054007691","0.427767375632","258","239","13","2","4","1","2","29","25","28","8"
"111990","89191","1834.70833333","48","14","0.786373783374","0.616224662916","258","231","23","2","2","2","2","23","25","17","14"
"101195","111990","1777.10869565","46","15","0.807816591729","0.647492465043","216","164","38","11","3","3","2","17","25","9","3"
"86401","101195","1750.97368421","38","12","0.770095253527","0.613534565572","207","160","36","8","3","4","2","21","25","11","16"
"72849","86401","1243.4047619","42","15","0.716866394872","0.528339441859","205","169","28","4","4","5","2","21","25","7","6"
"216722","72849","1866.09090909","99","34","0.852442299351","0.689505449378","374","243","112","15","4","6","2","26","25","22","13"
"303259","216722","2495.18518519","108","54","0.888613363495","0.787284136662","417","266","132","13","6","7","2","22","25","19","14"
"91576","303259","2346.83783784","37","16","0.948206953787","0.811904865904","106","28","66","10","2","8","2","18","25","8","6"
"118320","91576","2280.88888889","45","19","0.867478025693","0.735387085869","204","132","62","10","0","9","2","12","25","10","9"
"141699","118320","2133.96363636","55","23","0.82829095477","0.712933753943","264","199","52","10","3","10","2","22","25","17","15"
"179695","141699","2411.46153846","65","31","0.872283591641","0.7674392721","294","236","39","13","6","11","2","26","25","19","16"
"177502","179695","2053.07042254","71","23","0.821218915843","0.669581187818","330","290","32","2","6","12","2","23","25","24","16"
"122820","177502","1610.90163934","61","20","0.800073277968","0.622349780166","264","207","49","6","2","13","2","26","25","19","15"
"281078","122820","2312.54368932","103","43","0.847423135215","0.73579220003","488","383","71","22","12","14","1","39","25","23","7"
"79951","281078","2559.04","25","12","0.800190116446","0.716663956673","170","133","32","5","0","15","1","16","25","7","13"
"99116","79951","2461.05882353","34","11","0.844222930707","0.726118890996","179","136","36","5","2","16","1","21","25","16","12"
"325112","99116","2379.27826087","115","55","0.841608430326","0.738865375624","607","394","144","19","50","17","1","40","25","28","16"
"204356","325112","2762.19354839","62","25","0.838027755486","0.731874767562","363","263","83","14","3","18","1","30","25","15","14"
"83380","204356","1155.375","48","21","0.665123530823","0.499604221636","266","235","25","2","4","19","1","30","25","18","12"
"89701","83380","3557.36363636","22","5","0.872476338056","0.759121971884","112","85","25","2","0","20","1","9","25","7","15"
"206095","89701","2464.27777778","72","23","0.860903952061","0.731774181809","358","214","125","17","2","21","1","21","25","17","16"
"89699","206095","2245.74285714","35","15","0.876275097827","0.747343894581","143","102","32","9","0","22","1","11","25","7","13"
"35699","89699","1787.08333333","12","6","0.600717106922","0.476848090983","129","123","4","2","0","23","1","12","25","6","14"
"111465","35699","1491.2","55","17","0.735800475486","0.549517785852","280","258","18","2","2","24","1","25","25","19","12"
"66316","111465","1545.15625","32","13","0.745596839375","0.60193618433","177","139","32","6","0","25","1","16","25","10","15"
"45094","66316","1030.93333333","30","9","0.685856211469","0.448751496873","138","132","4","2","0","26","1","15","25","8","3"
"61497","1","6078.3","10","7","0.988389677545","0.957981690164","31","0","29","2","0","0","2","22","13","0","7"
