"time","prev_time","pause_mean","pause_cnt","pause_cnt1s","pause_ratio","pause_ratio1s","event_cnt","event_keyboard_cnt","event_mouse_cnt","event_focus_cnt","event_browser_cnt","src_id","ui_id","tgt_len","user_id","edit_distance","rank"
"59163","1","5690.0","10","8","0.961749742238","0.947686898906","31","7","22","2","0","0","2","24","26","2","7"
"106904","59163","1582.21428571","56","16","0.828818379106","0.617011524358","269","242","25","2","0","1","2","35","26","15","1"
"166091","106904","1656.43902439","82","25","0.817792655833","0.611297421293","346","334","10","2","0","2","2","31","26","13","14"
"157377","166091","2701.39622642","53","18","0.909751742631","0.790528476207","209","169","36","4","0","3","2","17","26","6","14"
"114267","157377","1250.15277778","72","23","0.787725240008","0.573035084495","294","278","14","2","0","4","2","21","26","13","12"
"76029","114267","2294.93103448","29","9","0.875363348196","0.739165318497","273","256","15","2","0","5","2","25","26","1","3"
"145580","76029","2037.96825397","63","21","0.881934331639","0.730684159912","281","257","22","2","0","6","2","36","26","12","2"
"243789","145580","2084.93137255","102","39","0.872324017901","0.72593513243","444","419","23","2","0","7","2","37","26","19","14"
"199985","243789","2870.26984127","63","24","0.904202815211","0.805890441783","243","223","18","2","0","8","2","24","26","8","4"
"149009","199985","3928.38888889","36","23","0.949083612399","0.901462327779","127","104","18","5","0","9","2","16","26","2","4"
"140005","149009","5286.44","25","8","0.94397342952","0.876925824078","173","154","17","2","0","10","2","24","26","2","5"
"134074","140005","5346.20833333","24","16","0.957001357459","0.927137252562","108","75","31","2","0","11","2","30","26","3","5"
"41785","134074","1452.82608696","23","10","0.799688883571","0.638458777073","203","195","6","2","0","12","2","32","26","5","5"
"83813","41785","6621.83333333","12","6","0.948086812308","0.906935678236","55","45","8","2","0","13","2","21","26","1","4"
"420419","83813","2753.79259259","135","51","0.884265458983","0.789405331348","463","413","48","2","0","14","1","46","26","20","14"
"212045","420419","3224.28070175","57","22","0.866721686434","0.779631681954","261","222","37","2","0","15","1","21","26","7","3"
"225912","212045","2575.05128205","78","37","0.889080703991","0.79620383158","247","185","49","13","0","16","1","19","26","14","5"
"371494","225912","2370.36363636","132","45","0.842242404992","0.726111323467","498","488","8","2","0","17","1","38","26","18","7"
"196450","371494","1850.4494382","89","25","0.83833036396","0.659837108679","290","279","9","2","0","18","1","29","26","18","9"
"206686","196450","1581.60185185","108","48","0.826437204262","0.672159701189","430","383","45","2","0","19","1","30","26","21","4"
"101183","206686","1880.06666667","45","18","0.836138481761","0.692725062511","148","137","9","2","0","20","1","12","26","5","7"
"318142","101183","4915.77966102","59","27","0.911640085245","0.857547887421","219","204","11","4","0","21","1","26","26","12","14"
"74574","318142","1700.66666667","36","15","0.820983184488","0.707498592003","111","100","9","2","0","22","1","14","26","9","16"
"119694","74574","1857.51785714","56","14","0.869057763965","0.697052483834","142","134","6","2","0","23","1","16","26","8","4"
"276917","119694","2278.68224299","107","40","0.880476821575","0.738762878408","379","365","12","2","0","24","1","24","26","8","15"
"116871","276917","1462.44444444","63","19","0.788339280061","0.575591891915","259","245","12","2","0","25","1","16","26","6","12"
"179232","116871","2366.44927536","69","24","0.911025932869","0.787643947509","168","158","5","5","0","26","1","18","26","6","12"
"97606","1","1993.25531915","47","26","0.959807798701","0.825984058357","87","23","59","5","0","0","2","26","20","8","5"
"94815","97606","1824.20408163","49","28","0.942741127459","0.813035912039","79","35","43","1","0","1","2","37","20","11","10"
"136864","94815","2218.54237288","59","36","0.956380056114","0.867130874445","107","37","69","1","0","2","2","28","20","7","8"
"65772","136864","1630.18918919","37","19","0.91706197166","0.735966672748","88","25","62","1","0","3","2","18","20","7","2"
"52750","65772","1659.03333333","30","18","0.943526066351","0.818957345972","55","16","38","1","0","4","2","20","20","5","3"
"35879","52750","2633.23076923","13","7","0.954095710583","0.844421527913","26","2","23","1","0","5","2","25","20","1","3"
"162166","35879","2105.79452055","73","38","0.947936065513","0.825055807013","155","24","128","3","0","6","2","32","20","10","6"
"97653","162166","1646.76785714","56","25","0.944353988101","0.743213214136","112","29","82","1","0","7","2","34","20","9","10"
"91622","97653","1383.37704918","61","26","0.921023335007","0.687269433106","119","52","64","3","0","8","2","28","20","10","4"
"108050","91622","3008.94117647","34","19","0.946820916242","0.87845441925","79","27","49","3","0","9","2","17","20","6","5"
"61025","108050","2927.65","20","10","0.959492011471","0.873281442032","38","12","25","1","0","10","2","25","20","5","5"
"52068","61025","2286.54545455","22","12","0.966121226089","0.831796881002","42","6","35","1","0","11","2","30","20","4","13"
"58437","52068","1658.51515152","33","17","0.936581275562","0.782398138166","61","24","36","1","0","12","2","32","20","7","10"
"88982","58437","2783.80645161","31","14","0.969836596166","0.848261446135","57","17","37","3","0","13","2","22","20","4","10"
"308603","88982","1125.7219917","241","77","0.879119775245","0.589615136599","491","354","134","3","0","14","1","46","20","25","5"
"95656","308603","1012.08","75","20","0.793530986033","0.490904909258","195","168","26","1","0","15","1","25","20","12","10"
"104685","95656","1003.7752809","89","23","0.853379185175","0.544882265845","187","159","27","1","0","16","1","22","20","12","13"
"295494","104685","1178.70588235","221","65","0.881554278598","0.609931166115","454","356","97","1","0","17","1","45","20","23","12"
"212812","295494","1067.18452381","168","52","0.84246659023","0.555546679699","411","267","139","5","0","18","1","36","20","21","11"
"273798","212812","1467.5297619","168","65","0.900463115143","0.694186955347","368","212","147","9","0","19","1","28","20","22","8"
"91902","273798","1275.90322581","62","24","0.860764727645","0.645633392092","167","79","81","7","0","20","1","10","20","8","5"
"127115","91902","939.424778761","113","30","0.835109939818","0.498052944184","261","200","58","3","0","21","1","28","20","17","6"
"70457","127115","856.863636364","66","15","0.802659778304","0.42063953901","149","137","11","1","0","22","1","16","20","9","7"
"122611","70457","1348.3375","80","29","0.879749777752","0.668292404434","187","124","60","3","0","23","1","17","20","7","1"
"148211","122611","1155.02727273","110","34","0.857244064206","0.591953363785","253","187","63","3","0","24","1","27","20","9","3"
"102217","148211","1296.7761194","67","22","0.849995597601","0.630942015516","183","106","72","5","0","25","1","16","20","5","3"
"125044","102217","1149.64893617","94","29","0.86423179041","0.58292281117","210","138","69","3","0","26","1","19","20","9","8"
"89058","1","992.21875","64","13","0.713040939612","0.38056098273","246","220","25","1","0","0","2","24","21","8","14"
"157506","89058","1321.58064516","93","28","0.780332177822","0.565254656965","383","319","56","8","0","1","2","32","21","22","6"
"146693","157506","1067.92156863","102","24","0.742557586252","0.437355565705","425","370","54","1","0","2","2","27","21","13","16"
"81650","146693","1250.85714286","49","19","0.75066748316","0.543821187998","219","171","47","1","0","3","2","18","21","8","3"
"147148","81650","1190.5106383","94","30","0.76051322478","0.530764944138","403","372","30","1","0","4","2","21","21","8","1"
"64848","147148","1053.84210526","38","15","0.617536392795","0.433891561806","206","195","10","1","0","5","2","24","21","6","3"
"223343","64848","1098.15151515","165","33","0.811285780168","0.508249642926","668","553","106","9","0","6","2","34","21","13","2"
"138454","223343","1628.67164179","67","22","0.788139020902","0.620856024384","309","246","60","3","0","7","2","34","21","11","12"
"115455","138454","1465.07575758","66","19","0.837512450738","0.612082629596","268","182","80","6","0","8","2","27","21","8","7"
"101295","115455","1399.01612903","62","13","0.856300903302","0.598015696727","263","158","100","5","0","9","2","16","21","10","8"
"133283","101295","1347.79012346","81","25","0.819091707119","0.594269336675","420","286","125","9","0","10","2","24","21","7","8"
"245720","133283","2426.72631579","95","43","0.938218297249","0.822468663519","282","146","127","9","0","11","2","30","21","4","1"
"300782","245720","1945.68613139","137","46","0.886219920075","0.729960569449","616","490","110","16","0","12","2","31","21","8","10"
"90045","300782","1580.58","50","16","0.877661169415","0.664012438225","225","140","79","6","0","13","2","20","21","5","6"
"271200","90045","2418.13684211","95","33","0.84706120944","0.71659660767","437","332","88","17","0","14","1","42","21","19","1"
"231687","271200","5444.79487179","39","18","0.916525312167","0.867933893572","180","148","24","8","0","15","1","21","21","5","6"
